session_date,r,rp_flow,rp_tone,rp_net,rp_disp,rp_absmean,rp_tail,rp_negshare,fb_flow,fb_tone,fb_net,fb_disp,fb_absmean,fb_tail,fb_negshare,mkt11,abs_r,rev1,mom5,vol5,vol20,abs_r1,med60,y_magnitude,y_direction,flow_ma20
2015-01-27,-0.009507222222222224,6.148468295917647,0.01914346895074947,8.940000000000001,0.4496390001383903,0.39978586723768733,0.04068522483940043,0.37687366167023556,6.148468295917647,-0.06191725527660272,-28.91535821417347,0.6547079370408367,0.5612927896341576,0.4668094218415418,0.37687366167023556,,0.009507222222222224,0.0034232222222222225,0.0183,0.006953825818378371,,0.0034232222222222225,,,0.0,
2015-01-28,-0.014849000000000001,6.023447592961033,0.023640776699029125,9.74,0.42059666468357515,0.35815533980582526,0.024271844660194174,0.3446601941747573,6.023447592961033,0.03874931692765139,15.964718574192373,0.6339422189082522,0.5342668663265039,0.441747572815534,0.3106796116504854,,0.014849000000000001,-0.009507222222222224,0.007132444444444441,0.00919044325513878,,0.009507222222222224,,,0.0,
2015-01-29,0.009897222222222222,6.113682179832232,-0.078980044345898,-35.62,0.4273045513458599,0.3784478935698448,0.026607538802660754,0.458980044345898,6.113682179832232,-0.24288952825363816,-109.54317724239081,0.6348752145002614,0.5820314845260225,0.5099778270509978,0.47671840354767187,,0.009897222222222222,-0.014849000000000001,-0.014999444444444449,0.010845356210816967,,0.014849000000000001,,,1.0,
2015-01-30,-0.011856333333333333,6.244166900663736,0.04941634241245136,25.4,0.4311488458708404,0.3754863813229572,0.011673151750972763,0.311284046692607,6.244166900663736,-0.12902192527642076,-66.31726959208027,0.6775470141065361,0.606551281985526,0.5019455252918288,0.44357976653696496,,0.011856333333333333,0.009897222222222222,-0.01743066666666667,0.010008527730063837,,0.009897222222222222,,,0.0,
2015-02-02,0.012404333333333333,6.269096283706261,0.01026565464895636,5.410000000000002,0.43786372779934263,0.3655218216318786,0.04554079696394687,0.33396584440227706,6.269096283706261,-0.09469835174603979,-49.906031370162964,0.6650077813417374,0.5706744955382549,0.5009487666034156,0.3984819734345351,,0.012404333333333333,-0.011856333333333333,-0.022892111111111113,0.010680782080071444,0.010403645395660526,0.011856333333333333,,,1.0,6.144490403416066
2015-02-03,0.014919444444444445,6.118097198041348,0.10832229580573952,49.07,0.4244432192155747,0.38121412803532007,0.017660044150110375,0.2671081677704194,6.118097198041348,-0.08230547336594224,-37.284379434771836,0.7236223237976694,0.6386907994726603,0.6203090507726269,0.41721854304635764,,0.014919444444444445,0.012404333333333333,-0.013911000000000005,0.012889647245505993,0.010833826682272242,0.012404333333333333,,,1.0,6.169529167811691
2015-02-04,-0.005423111111111111,6.18826412308259,0.04695473251028807,22.82,0.42659063890849874,0.375761316872428,0.006172839506172839,0.3148148148148148,6.18826412308259,-0.004006072493660965,-1.9469512319192288,0.651274094097497,0.539163128716235,0.47530864197530864,0.31275720164609055,,0.005423111111111111,0.014919444444444445,0.010515666666666666,0.014259750240743876,0.010443714427385172,0.014919444444444445,,,0.0,6.177901900084372
2015-02-05,0.011540888888888889,6.270988431858299,-0.051041666666666666,-26.95,0.4344608364104256,0.3733522727272727,0.02462121212121212,0.4128787878787879,6.270988431858299,-0.10930596221905117,-57.71354805165902,0.6447462798370632,0.5453107681374108,0.4943181818181818,0.3958333333333333,,0.011540888888888889,-0.005423111111111111,0.019941555555555556,0.011883412413221887,0.01031162446087229,0.005423111111111111,,,1.0,6.181300235290953
2015-02-06,-0.006213111111111111,6.091309882077698,0.035510204081632656,15.66,0.43725671210629063,0.3846258503401361,0.013605442176870748,0.3492063492063492,6.091309882077698,-0.07379150582169121,-32.542054067365825,0.6574845882225803,0.5691973716252887,0.46485260770975056,0.41043083900226757,,0.006213111111111111,0.011540888888888889,0.02158522222222222,0.01210834252570322,0.010298416248351077,0.011540888888888889,,,0.0,6.184621768755434
2015-02-09,-0.004581777777777778,6.073044534100405,-0.07397228637413396,-32.03,0.43239098301553447,0.3819630484988452,0.03926096997690531,0.4503464203233256,6.073044534100405,-0.08819917294758159,-38.19024188630283,0.6844971304070471,0.6037324824376896,0.5404157043879908,0.4064665127020785,,0.004581777777777778,-0.006213111111111111,0.027228444444444447,0.010360799567970334,0.009687599921141394,0.006213111111111111,,,0.0,6.183172391911771
2015-02-10,0.010731555555555555,6.1070228877422545,0.040602678571428574,18.19,0.41831433669922363,0.3618080357142857,0.013392857142857142,0.32589285714285715,6.1070228877422545,-0.1664840698233872,-74.58486328087747,0.6830039659006302,0.6072694492384991,0.5647321428571429,0.453125,,0.010731555555555555,-0.004581777777777778,0.010242333333333332,0.010293279747749599,0.009548635436326695,0.004581777777777778,,,1.0,6.177927412914261
