ticker,sector,model,fold,metric,score
XLY,Consumer Discretionary,Market + news sentiment model,2022,auc_roc,0.5170220966084276
XLY,Consumer Discretionary,Market + news sentiment model,2022,f1,0.6153846153846154
XLY,Consumer Discretionary,Market + news sentiment model,2022,directional_accuracy,0.4820717131474104
XLY,Consumer Discretionary,Always-up reference,2022,auc_roc,0.5
XLY,Consumer Discretionary,Always-up reference,2022,f1,0.6170798898071626
XLY,Consumer Discretionary,Always-up reference,2022,directional_accuracy,0.44621513944223107
XLY,Consumer Discretionary,Market-only model,2023,auc_roc,0.46225480483455517
XLY,Consumer Discretionary,Market-only model,2023,f1,0.707774798927614
XLY,Consumer Discretionary,Market-only model,2023,directional_accuracy,0.564
XLY,Consumer Discretionary,Market + news sentiment model,2023,auc_roc,0.43002443695924975
XLY,Consumer Discretionary,Market + news sentiment model,2023,f1,0.6371681415929203
XLY,Consumer Discretionary,Market + news sentiment model,2023,directional_accuracy,0.508
XLY,Consumer Discretionary,Always-up reference,2023,auc_roc,0.5
XLY,Consumer Discretionary,Always-up reference,2023,f1,0.7405541561712846
XLY,Consumer Discretionary,Always-up reference,2023,directional_accuracy,0.588
XLY,Consumer Discretionary,Market-only model,2024,auc_roc,0.4859913793103448
XLY,Consumer Discretionary,Market-only model,2024,f1,0.7010309278350515
XLY,Consumer Discretionary,Market-only model,2024,directional_accuracy,0.5396825396825397
XLY,Consumer Discretionary,Market + news sentiment model,2024,auc_roc,0.4578473630831643
XLY,Consumer Discretionary,Market + news sentiment model,2024,f1,0.6994818652849741
XLY,Consumer Discretionary,Market + news sentiment model,2024,directional_accuracy,0.5396825396825397
XLY,Consumer Discretionary,Always-up reference,2024,auc_roc,0.5
XLY,Consumer Discretionary,Always-up reference,2024,f1,0.7010309278350515
XLY,Consumer Discretionary,Always-up reference,2024,directional_accuracy,0.5396825396825397
XLY,Consumer Discretionary,Market-only model,2025,auc_roc,0.4692007797270955
XLY,Consumer Discretionary,Market-only model,2025,f1,0.688
XLY,Consumer Discretionary,Market-only model,2025,directional_accuracy,0.5301204819277109
XLY,Consumer Discretionary,Market + news sentiment model,2025,auc_roc,0.4594541910331384
XLY,Consumer Discretionary,Market + news sentiment model,2025,f1,0.6792452830188679
XLY,Consumer Discretionary,Market + news sentiment model,2025,directional_accuracy,0.5220883534136547
XLY,Consumer Discretionary,Always-up reference,2025,auc_roc,0.5
XLY,Consumer Discretionary,Always-up reference,2025,f1,0.703125
XLY,Consumer Discretionary,Always-up reference,2025,directional_accuracy,0.5421686746987951
XLI,Industrials,Market-only model,2022,auc_roc,0.4836128048780488
XLI,Industrials,Market-only model,2022,f1,0.6592797783933518
XLI,Industrials,Market-only model,2022,directional_accuracy,0.5099601593625498
XLI,Industrials,Market + news sentiment model,2022,auc_roc,0.4871061991869919
XLI,Industrials,Market + news sentiment model,2022,f1,0.6340057636887608
XLI,Industrials,Market + news sentiment model,2022,directional_accuracy,0.4940239043824701
XLI,Industrials,Always-up reference,2022,auc_roc,0.5
XLI,Industrials,Always-up reference,2022,f1,0.6577540106951871
XLI,Industrials,Always-up reference,2022,directional_accuracy,0.4900398406374502
XLI,Industrials,Market-only model,2023,auc_roc,0.5568438003220612
XLI,Industrials,Market-only model,2023,f1,0.6869806094182825
XLI,Industrials,Market-only model,2023,directional_accuracy,0.548
XLI,Industrials,Market + news sentiment model,2023,auc_roc,0.5743639291465379
XLI,Industrials,Market + news sentiment model,2023,f1,0.6666666666666666
XLI,Industrials,Market + news sentiment model,2023,directional_accuracy,0.536
XLI,Industrials,Always-up reference,2023,auc_roc,0.5
XLI,Industrials,Always-up reference,2023,f1,0.7012987012987013
XLI,Industrials,Always-up reference,2023,directional_accuracy,0.54
XLI,Industrials,Market-only model,2024,auc_roc,0.5029724260055654
XLI,Industrials,Market-only model,2024,f1,0.6885245901639344
XLI,Industrials,Market-only model,2024,directional_accuracy,0.5476190476190477
XLI,Industrials,Market + news sentiment model,2024,auc_roc,0.5331393878067291
XLI,Industrials,Market + news sentiment model,2024,f1,0.6774193548387096
XLI,Industrials,Market + news sentiment model,2024,directional_accuracy,0.5238095238095238
XLI,Industrials,Always-up reference,2024,auc_roc,0.5
XLI,Industrials,Always-up reference,2024,f1,0.694300518134715
XLI,Industrials,Always-up reference,2024,directional_accuracy,0.5317460317460317
XLI,Industrials,Market-only model,2025,auc_roc,0.48327693909422176
XLI,Industrials,Market-only model,2025,f1,0.6850828729281768
XLI,Industrials,Market-only model,2025,directional_accuracy,0.5421686746987951
XLI,Industrials,Market + news sentiment model,2025,auc_roc,0.5143805309734514
XLI,Industrials,Market + news sentiment model,2025,f1,0.6869806094182825
XLI,Industrials,Market + news sentiment model,2025,directional_accuracy,0.5461847389558233
XLI,Industrials,Always-up reference,2025,auc_roc,0.5
XLI,Industrials,Always-up reference,2025,f1,0.7064935064935065
XLI,Industrials,Always-up reference,2025,directional_accuracy,0.5461847389558233
XLP,Consumer Staples,Market-only model,2022,auc_roc,0.4680864589955499
XLP,Consumer Staples,Market-only model,2022,f1,0.6532951289398281
XLP,Consumer Staples,Market-only model,2022,directional_accuracy,0.5179282868525896
XLP,Consumer Staples,Market + news sentiment model,2022,auc_roc,0.4803560076287349
XLP,Consumer Staples,Market + news sentiment model,2022,f1,0.6158730158730159
XLP,Consumer Staples,Market + news sentiment model,2022,directional_accuracy,0.5179282868525896
XLP,Consumer Staples,Always-up reference,2022,auc_roc,0.5
XLP,Consumer Staples,Always-up reference,2022,f1,0.6824146981627297
XLP,Consumer Staples,Always-up reference,2022,directional_accuracy,0.5179282868525896
XLP,Consumer Staples,Market-only model,2023,auc_roc,0.46274585175219424
XLP,Consumer Staples,Market-only model,2023,f1,0.6825396825396826
XLP,Consumer Staples,Market-only model,2023,directional_accuracy,0.52
